Question,Subject,Answer
1,1,We're careful about orange ping pong balls because people might think they're fruit.
1,2,He found a leprechaun in his walnut shell.
1,3,The stranger officiates the meal.
1,4,He decided to fake his disappearance to avoid jail.
1,5,The best key lime pie is still up for debate.
1,6,There are few things better in life than a slice of pie.
1,7,"The secret code they created made no sense, even to them."
1,8,The skeleton had skeletons of his own in the closet.
1,9,There were three sphered rocks congregating in a cubed room.
1,10,The tattered work gloves speak of the many hours of hard labor he endured throughout his life.
1,11,He felt that dining on the bridge brought romance to his relationship with his cat.
1,12,Be careful with that butter knife.
1,13,Jim liked driving around town with his hazard lights on.
1,14,The father handed each child a roadmap at the beginning of the 2-day road trip and explained it was so they could find their way home.
1,15,The group quickly understood that toxic waste was the most effective barrier to use against the zombies.
1,16,The father died during childbirth.
1,17,They ran around the corner to find that they had traveled back in time.
1,18,Waffles are always better without fire ants and fleas.
1,19,Please wait outside of the house.
1,20,This is a Japanese doll.
1,21,"If any cop asks you where you were, just say you were visiting Kansas."
1,22,"When motorists sped in and out of traffic, all she could think of was those in need of a transplant."
1,23,It caught him off guard that space smelled of seared steak.
1,24,The book is in front of the table.
1,25,"Green should have smelled more tranquil, but somehow it just tasted rotten."
1,26,They did nothing as the raccoon attacked the lady’s bag of food.
1,27,Chocolate covered crickets were his favorite snack.
1,28,Swim at your own risk was taken as a challenge for the group of Kansas City college students.
1,29,Siri became confused when we reused to follow her directions.
1,30,The door slammed on the watermelon.
1,31,I've traveled all around Africa and still haven't found the gnu who stole my scarf.
1,32,The white water rafting trip was suddenly halted by the unexpected brick wall.
1,33,I honestly find her about as intimidating as a basket of kittens.
1,34,Beach-combing replaced wine tasting as his new obsession.
1,35,I made myself a peanut butter sandwich as I didn't want to subsist on veggie crackers.
1,36,You've been eyeing me all day and waiting for your move like a lion stalking a gazelle in a savannah.
1,37,That must be the tenth time I've been arrested for selling deep-fried cigars.
1,38,The sudden rainstorm washed crocodiles into the ocean.
1,39,He had a wall full of masks so she could wear a different face every day.
1,40,He appeared to be confusingly perplexed.
1,41,Check back tomorrow; I will see if the book has arrived.
1,42,The green tea and avocado smoothie turned out exactly as would be expected.
1,43,It had been sixteen days since the zombies first attacked.
1,44,"Honestly, I didn't care much for the first season, so I didn't bother with the second."
1,45,Jerry liked to look at paintings while eating garlic ice cream.
1,46,The bees decided to have a mutiny against their queen.
1,47,"All she wanted was the answer, but she had no idea how much she would hate it."
1,48,He created a pig burger out of beef.
1,49,The Great Dane looked more like a horse than a dog.
1,50,8% of 25 is the same as 25% of 8 and one of them is much easier to do in your head.
2,1,Situps are a terrible way to end your day.
2,2,This is the last random sentence I will be writing and I am going to stop mid-sent
2,3,"Honestly, I didn't care much for the first season, so I didn't bother with the second."
2,4,Her fragrance of choice was fresh garlic.
2,5,It's not possible to convince a monkey to give you a banana by promising it infinite bananas when they die.
2,6,I just wanted to tell you I could see the love you have for your child by the way you look at her.
2,7,Gary didn't understand why Doug went upstairs to get one dollar bills when he invited him to go cow tipping.
2,8,Everybody should read Chaucer to improve their everyday vocabulary.
2,9,"He wore the surgical mask in public not to keep from catching a virus, but to keep people away from him."
2,10,Karen believed all traffic laws should be obeyed by all except herself.
2,11,"When motorists sped in and out of traffic, all she could think of was those in need of a transplant."
2,12,Whenever he saw a red flag warning at the beach he grabbed his surfboard.
2,13,"It took him a while to realize that everything he decided not to change, he was actually choosing."
2,14,Doris enjoyed tapping her nails on the table to annoy everyone.
2,15,The light in his life was actually a fire burning all around him.
2,16,Art doesn't have to be intentional.
2,17,Waffles are always better without fire ants and fleas.
2,18,Nobody questions who built the pyramids in Mexico.
2,19,Swim at your own risk was taken as a challenge for the group of Kansas City college students.
2,20,"I'm not a party animal, but I do like animal parties."
2,21,The trick to getting kids to eat anything is to put catchup on it.
2,22,"Peanuts don't grow on trees, but cashews do."
2,23,"He learned the hardest lesson of his life and had the scars, both physical and mental, to prove it."
2,24,"As the rental car rolled to a stop on the dark road, her fear increased by the moment."
2,25,"When nobody is around, the trees gossip about the people who have walked under them."
2,26,I always dreamed about being stranded on a desert island until it actually happened.
2,27,He liked to play with words in the bathtub.
2,28,Happiness can be found in the depths of chocolate pudding.
2,29,She looked at the masterpiece hanging in the museum but all she could think is that her five-year-old could do better.
2,30,She wondered what his eyes were saying beneath his mirrored sunglasses.
2,31,Wisdom is easily acquired when hiding under the bed with a saucepan on your head.
2,32,"As time wore on, simple dog commands turned into full paragraphs explaining why the dog couldn’t do something."
2,33,Random words in front of other random words create a random sentence.
2,34,The snow-covered path was no help in finding his way out of the back-country.
2,35,"He ran out of money, so he had to stop playing poker."
2,36,Don't step on the broken glass.
2,37,The waves were crashing on the shore; it was a lovely sight.
2,38,"It was obvious she was hot, sweaty, and tired."
2,39,It's always a good idea to seek shelter from the evil gaze of the sun.
2,40,The river stole the gods.
2,41,Malls are great places to shop; I can find everything I need under one roof.
2,42,"If you like tuna and tomato sauce, try combining the two, it’s really not as bad as it sounds."
2,43,"There's an art to getting your way, and spitting olive pits across the table isn't it."
2,44,She only paints with bold colors; she does not like pastels.
2,45,"Red is greener than purple, for sure."
2,46,Karen realized the only way she was getting into heaven was to cheat.
2,47,"I used to live in my neighbor's fishpond, but the aesthetic wasn't to my taste."
2,48,As he dangled from the rope deep inside the crevasse
2,49,Watching the geriatric men’s softball team brought back memories of 3 yr olds playing t-ball.
2,50,The knives were out and she was sharpening hers.
3,1,He drank life before spitting it out.
3,2,Getting up at dawn is for the birds.
3,3,His son quipped that power bars were nothing more than adult candy bars.
3,4,Gary didn't understand why Doug went upstairs to get one dollar bills when he invited him to go cow tipping.
3,5,"I think I will buy the red car, or I will lease the blue one."
3,6,Strawberries must be the one food that doesn't go well with this brand of paint.
3,7,The elephant didn't want to talk about the person in the room.
3,8,"He wore the surgical mask in public not to keep from catching a virus, but to keep people away from him."
3,9,It caught him off guard that space smelled of seared steak.
3,10,"As the years pass by, we all know owners look more and more like their dogs."
3,11,She always had an interesting perspective on why the world must be flat.
3,12,At last
3,13,"I would have gotten the promotion, but my attendance wasn’t good enough."
3,14,"Mary realized if her calculator had a history, it would be more embarrassing than her computer browser history."
3,15,They finished building the road they knew no one would ever use.
3,16,The tortoise jumped into the lake with dreams of becoming a sea turtle.
3,17,"It took him a while to realize that everything he decided not to change, he was actually choosing."
3,18,She found his complete dullness interesting.
3,19,Most shark attacks occur about 10 feet from the beach since that's where the people are.
3,20,I ate a sock because people on the Internet told me to.
3,21,As he dangled from the rope deep inside the crevasse
3,22,The memory we used to share is no longer coherent.
3,23,After coating myself in vegetable oil I found my success rate skyrocketed.
3,24,The murder hornet was disappointed by the preconceived ideas people had of him.
3,25,"As the asteroid hurtled toward earth, Becky was upset her dentist appointment had been canceled."
3,26,The old rusted farm equipment surrounded the house predicting its demise.
3,27,The most exciting eureka moment I've had was when I realized that the instructions on food packets were just guidelines.
3,28,"David subscribes to the ""stuff your tent into the bag"" strategy over nicely folding it."
3,29,The beach was crowded with snow leopards.
3,30,This is the last random sentence I will be writing and I am going to stop mid-sent
3,31,Plans for this weekend include turning wine into water.
3,32,You have no right to call yourself creative until you look at a trowel and think that it would make a great lockpick.
3,33,"When he encountered maize for the first time, he thought it incredibly corny."
3,34,The estate agent quickly marked out his territory on the dance floor.
3,35,He uses onomatopoeia as a weapon of mental destruction.
3,36,"Italy is my favorite country; in fact, I plan to spend two weeks there next year."
3,37,Everything was going so well until I was accosted by a purple giraffe.
3,38,I always dreamed about being stranded on a desert island until it actually happened.
3,39,I only enjoy window shopping when the windows are transparent.
3,40,He invested some skill points in Charisma and Strength.
3,41,"If eating three-egg omelets causes weight-gain, budgie eggs are a good substitute."
3,42,Best friends are like old tomatoes and shoelaces.
3,43,A glittering gem is not enough.
3,44,"When he asked her favorite number, she answered without hesitation that it was diamonds."
3,45,The complicated school homework left the parents trying to help their kids quite confused.
3,46,"With a single flip of the coin, his life changed forever."
3,47,Please tell me you don't work in a morgue.
3,48,"Tomorrow will bring something new, so leave today as a memory."
3,49,He quietly entered the museum as the super bowl started.
3,50,He stomped on his fruit loops and thus became a cereal killer.
4,1,Strawberries must be the one food that doesn't go well with this brand of paint.
4,2,Nobody questions who built the pyramids in Mexico.
4,3,Jim liked driving around town with his hazard lights on.
4,4,I used to practice weaving with spaghetti three hours a day but stopped because I didn't want to die alone.
4,5,He enjoys practicing his ballet in the bathroom.
4,6,"It was obvious she was hot, sweaty, and tired."
4,7,I’m a living furnace.
4,8,He shaved the peach to prove a point.
4,9,Her scream silenced the rowdy teenagers.
4,10,She looked into the mirror and saw another person.
4,11,The tumbleweed refused to tumble but was more than willing to prance.
4,12,The spa attendant applied the deep cleaning mask to the gentleman’s back.
4,13,The river stole the gods.
4,14,Just go ahead and press that button.
4,15,Everyone was curious about the large white blimp that appeared overnight.
4,16,"If any cop asks you where you were, just say you were visiting Kansas."
4,17,The pet shop stocks everything you need to keep your anaconda happy.
4,18,It didn't take long for Gary to detect the robbers were amateurs.
4,19,"The tart lemonade quenched her thirst, but not her longing."
4,20,I can't believe this is the eighth time I'm smashing open my piggy bank on the same day!
4,21,The father died during childbirth.
4,22,He was the type of guy who liked Christmas lights on his house in the middle of July.
4,23,Joe discovered that traffic cones make excellent megaphones.
4,24,Each person who knows you has a different perception of who you are.
4,25,He stepped gingerly onto the bridge knowing that enchantment awaited on the other side.
4,26,"Red is greener than purple, for sure."
4,27,Check back tomorrow; I will see if the book has arrived.
4,28,He colored deep space a soft yellow.
4,29,The bullet pierced the window shattering it before missing Danny's head by mere millimeters.
4,30,Dan took the deep dive down the rabbit hole.
4,31,"When motorists sped in and out of traffic, all she could think of was those in need of a transplant."
4,32,A suit of armor provides excellent sun protection on hot days.
4,33,It took him a month to finish the meal.
4,34,Sixty-Four comes asking for bread.
4,35,Erin accidentally created a new universe.
4,36,Mom didn’t understand why no one else wanted a hot tub full of jello.
4,37,Best friends are like old tomatoes and shoelaces.
4,38,It caught him off guard that space smelled of seared steak.
4,39,The father handed each child a roadmap at the beginning of the 2-day road trip and explained it was so they could find their way home.
4,40,"She hadn't had her cup of coffee, and that made things all the worse."
4,41,"I want a giraffe, but I'm a turtle eating waffles."
4,42,She couldn't decide of the glass was half empty or half full so she drank it.
4,43,The three-year-old girl ran down the beach as the kite flew behind her.
4,44,"If you really strain your ears, you can just about hear the sound of no one giving a damn."
4,45,She opened up her third bottle of wine of the night.
4,46,A dead duck doesn't fly backward.
4,47,Flash photography is best used in full sunlight.
4,48,"Going from child, to childish, to childlike is only a matter of time."
4,49,The best key lime pie is still up for debate.
4,50,I was fishing for compliments and accidentally caught a trout.
5,1,Improve your goldfish's physical fitness by getting him a bicycle.
5,2,The truth is that you pay for your lifestyle in hours.
5,3,The river stole the gods.
5,4,The minute she landed she understood the reason this was a fly-over state.
5,5,She looked into the mirror and saw another person.
5,6,My secretary is the only person who truly understands my stamp-collecting obsession.
5,7,You bite up because of your lower jaw.
5,8,The tree fell unexpectedly short.
5,9,The opportunity of a lifetime passed before him as he tried to decide between a cone or a cup.
5,10,I’m working on a sweet potato farm.
5,11,There were a lot of paintings of monkeys waving bamboo sticks in the gallery.
5,12,The green tea and avocado smoothie turned out exactly as would be expected.
5,13,He learned the important lesson that a picnic at the beach on a windy day is a bad idea.
5,14,"Seek success, but always be prepared for random cats."
5,15,"I love bacon, beer, birds, and baboons."
5,16,"They say that dogs are man's best friend, but this cat was setting out to sabotage that theory."
5,17,The trick to getting kids to eat anything is to put catchup on it.
5,18,Giving directions that the mountains are to the west only works when you can see them.
5,19,The sign said there was road work ahead so he decided to speed up.
5,20,She couldn't understand why nobody else could see that the sky is full of cotton candy.
5,21,There's a growing trend among teenagers of using frisbees as go-cart wheels.
5,22,"When nobody is around, the trees gossip about the people who have walked under them."
5,23,The near-death experience brought new ideas to light.
5,24,She tilted her head back and let whip cream stream into her mouth while taking a bath.
5,25,The water flowing down the river didn’t look that powerful from the car
5,26,Be careful with that butter knife.
5,27,Joyce enjoyed eating pancakes with ketchup.
5,28,Poison ivy grew through the fence they said was impenetrable.
5,29,Gary didn't understand why Doug went upstairs to get one dollar bills when he invited him to go cow tipping.
5,30,She was the type of girl who wanted to live in a pink house.
5,31,The fifty mannequin heads floating in the pool kind of freaked them out.
5,32,The pigs were insulted that they were named hamburgers.
5,33,"The tart lemonade quenched her thirst, but not her longing."
5,34,"Green should have smelled more tranquil, but somehow it just tasted rotten."
5,35,Situps are a terrible way to end your day.
5,36,The llama couldn't resist trying the lemonade.
5,37,The balloons floated away along with all my hopes and dreams.
5,38,You should never take advice from someone who thinks red paint dries quicker than blue paint.
5,39,Kevin embraced his ability to be at the wrong place at the wrong time.
5,40,"If you spin around three times, you'll start to feel melancholy."
5,41,The ice-cream trucks bring back bad memories for all of us.
5,42,"People keep telling me ""orange"" but I still prefer ""pink""."
5,43,"There should have been a time and a place, but this wasn't it."
5,44,Even though he thought the world was flat he didn’t see the irony of wanting to travel around the world.
5,45,He hated that he loved what she hated about hate.
5,46,"Facing his greatest fear, he ate his first marshmallow."
5,47,He wondered if she would appreciate his toenail collection.
5,48,The stranger officiates the meal.
5,49,He picked up trash in his spare time to dump in his neighbor's yard.
5,50,"It dawned on her that others could make her happier, but only she could make herself happy."
6,1,"If I don’t like something, I’ll stay away from it."
6,2,The bullet pierced the window shattering it before missing Danny's head by mere millimeters.
6,3,She did a happy dance because all of the socks from the dryer matched.
6,4,He felt that dining on the bridge brought romance to his relationship with his cat.
6,5,Love is not like pizza.
6,6,He had accidentally hacked into his company's server.
6,7,You have no right to call yourself creative until you look at a trowel and think that it would make a great lockpick.
6,8,Two seats were vacant.
6,9,Abstraction is often one floor above you.
6,10,The father died during childbirth.
6,11,"Thigh-high in the water, the fisherman’s hope for dinner soon turned to despair."
6,12,"We have never been to Asia, nor have we visited Africa."
6,13,Weather is not trivial - it's especially important when you're standing in it.
6,14,The virus had powers none of us knew existed.
6,15,"When she didn’t like a guy who was trying to pick her up, she started using sign language."
6,16,The green tea and avocado smoothie turned out exactly as would be expected.
6,17,The doll spun around in circles in hopes of coming alive.
6,18,It took me too long to realize that the ceiling hadn't been painted to look like the sky.
6,19,I made myself a peanut butter sandwich as I didn't want to subsist on veggie crackers.
6,20,Traveling became almost extinct during the pandemic.
6,21,Mary plays the piano.
6,22,Whenever he saw a red flag warning at the beach he grabbed his surfboard.
6,23,The balloons floated away along with all my hopes and dreams.
6,24,He knew it was going to be a bad day when he saw mountain lions roaming the streets.
6,25,The changing of down comforters to cotton bedspreads always meant the squirrels had returned.
6,26,Blue sounded too cold at the time and yet it seemed to work for gin.
6,27,Every manager should be able to recite at least ten nursery rhymes backward.
6,28,The furnace repairman indicated the heating system was acting as an air conditioner.
6,29,"Green should have smelled more tranquil, but somehow it just tasted rotten."
6,30,"I love bacon, beer, birds, and baboons."
6,31,At that moment I was the most fearsome weasel in the entire swamp.
6,32,I often see the time 11:11 or 12:34 on clocks.
6,33,"He didn’t want to go to the dentist, yet he went anyway."
6,34,Lets all be unique together until we realise we are all the same.
6,35,I don’t respect anybody who can’t tell the difference between Pepsi and Coke.
6,36,"If you don't like toenails, you probably shouldn't look at your feet."
6,37,Having no hair made him look even hairier.
6,38,He would only survive if he kept the fire going and he could hear thunder in the distance.
6,39,I ate a sock because people on the Internet told me to.
6,40,He had decided to accept his fate of accepting his fate.
6,41,She found it strange that people use their cellphones to actually talk to one another.
6,42,She found his complete dullness interesting.
6,43,The miniature pet elephant became the envy of the neighborhood.
6,44,The blue parrot drove by the hitchhiking mongoose.
6,45,I love eating toasted cheese and tuna sandwiches.
6,46,A song can make or ruin a person’s day if they let it get to them.
6,47,They ran around the corner to find that they had traveled back in time.
6,48,She was too short to see over the fence.
6,49,100 years old is such a young age if you happen to be a bristlecone pine.
6,50,It's always a good idea to seek shelter from the evil gaze of the sun.
7,1,So long and thanks for the fish.
7,2,The furnace repairman indicated the heating system was acting as an air conditioner.
7,3,The blinking lights of the antenna tower came into focus just as I heard a loud snap.
7,4,I became paranoid that the school of jellyfish was spying on me.
7,5,"If you like tuna and tomato sauce, try combining the two, it’s really not as bad as it sounds."
7,6,It was the scarcity that fueled his creativity.
7,7,He went back to the video to see what had been recorded and was shocked at what he saw.
7,8,He would only survive if he kept the fire going and he could hear thunder in the distance.
7,9,I received a heavy fine but it failed to crush my spirit.
7,10,Someone I know recently combined Maple Syrup & buttered Popcorn thinking it would taste like caramel popcorn. It didn’t and they don’t recommend anyone else do it either.
7,11,He felt that dining on the bridge brought romance to his relationship with his cat.
7,12,It took him a month to finish the meal.
7,13,The best key lime pie is still up for debate.
7,14,The estate agent quickly marked out his territory on the dance floor.
7,15,Nothing seemed out of place except the washing machine in the bar.
7,16,"It was getting dark, and we weren’t there yet."
7,17,Greetings from the real universe.
7,18,The changing of down comforters to cotton bedspreads always meant the squirrels had returned.
7,19,The water flowing down the river didn’t look that powerful from the car
7,20,The trick to getting kids to eat anything is to put catchup on it.
7,21,The river stole the gods.
7,22,I was starting to worry that my pet turtle could tell what I was thinking.
7,23,They ran around the corner to find that they had traveled back in time.
7,24,The near-death experience brought new ideas to light.
7,25,"Thigh-high in the water, the fisherman’s hope for dinner soon turned to despair."
7,26,"I know many children ask for a pony, but I wanted a bicycle with rockets strapped to it."
7,27,I love eating toasted cheese and tuna sandwiches.
7,28,I always dreamed about being stranded on a desert island until it actually happened.
7,29,The door slammed on the watermelon.
7,30,Sometimes you have to just give up and win by cheating.
7,31,He decided to count all the sand on the beach as a hobby.
7,32,"You can't compare apples and oranges, but what about bananas and plantains?"
7,33,Truth in advertising and dinosaurs with skateboards have much in common.
7,34,The white water rafting trip was suddenly halted by the unexpected brick wall.
7,35,I am happy to take your donation; any amount will be greatly appreciated.
7,36,It must be easy to commit crimes as a snake because you don't have to worry about leaving fingerprints.
7,37,He excelled at firing people nicely.
7,38,The spa attendant applied the deep cleaning mask to the gentleman’s back.
7,39,Twin 4-month-olds slept in the shade of the palm tree while the mother tanned in the sun.
7,40,"Sometimes, all you need to do is completely make an ass of yourself and laugh it off to realise that life isn’t so bad after all."
7,41,Today I heard something new and unmemorable.
7,42,It was a slippery slope and he was willing to slide all the way to the deepest depths.
7,43,"Buried deep in the snow, he hoped his batteries were fresh in his avalanche beacon."
7,44,She was the type of girl that always burnt sugar to show she cared.
7,45,They desperately needed another drummer since the current one only knew how to play bongos.
7,46,It was always dangerous to drive with him since he insisted the safety cones were a slalom course.
7,47,He kept telling himself that one day it would all somehow make sense.
7,48,"He never understood why what, when, and where left out who."
7,49,"Greetings from the galaxy MACS0647-JD, or what we call home."
7,50,Art doesn't have to be intentional.